2017-11-26 16:58:30.135592|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2017-11-26 17:14:54.777129|INFO    |VirtualServer |1  |permission 'i_group_show_name_in_tree'(id:149) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'N'amour'(id:10)
2017-11-26 17:15:04.620188|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was copied by 'loulediable'(id:2) to 'Administrateur'(id:9)
2017-11-26 17:15:13.377692|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) was deleted by 'loulediable'(id:2) from servergroup 'Administrateur'(id:9)
2017-11-26 17:15:19.345976|INFO    |VirtualServer |1  |servergroup 'Administrateur'(id:9) was copied by 'loulediable'(id:2) to 'N'amour'(id:10)
2017-11-26 17:15:25.466178|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'N'amour'(id:10) by client 'loulediable'(id:2)
2017-11-26 17:15:32.370672|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'Administrateur'(id:9) by client 'loulediable'(id:2)
2017-11-26 17:15:42.279613|INFO    |VirtualServer |1  |permission 'i_group_show_name_in_tree'(id:149) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'N'amour'(id:10)
2017-11-26 17:15:45.441540|INFO    |VirtualServer |1  |permission 'i_group_show_name_in_tree'(id:149) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Administrateur'(id:9)
2017-11-26 17:16:06.129249|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was renamed to 'All-Perm's' by 'loulediable'(id:2)
2017-11-26 17:16:11.178366|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) was deleted by 'loulediable'(id:2) from servergroup 'All-Perm's'(id:6)
2017-11-26 17:20:15.844519|INFO    |VirtualServer |1  |servergroup 'Madame'(id:11) was added by 'loulediable'(id:2)
2017-11-26 17:20:28.874397|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:82) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:30.945933|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:82) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:20:34.488114|INFO    |VirtualServer |1  |permission 'b_channel_create_permanent'(id:83) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:36.012820|INFO    |VirtualServer |1  |permission 'b_channel_create_permanent'(id:83) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:20:37.351919|INFO    |VirtualServer |1  |permission 'b_channel_create_semi_permanent'(id:84) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:38.089835|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:85) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:39.825517|INFO    |VirtualServer |1  |permission 'b_channel_create_private'(id:86) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:44.314301|INFO    |VirtualServer |1  |permission 'b_channel_create_with_topic'(id:87) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:45.087557|INFO    |VirtualServer |1  |permission 'b_channel_create_with_description'(id:88) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:47.912533|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:89) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:49.218719|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex8'(id:90) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:49.663692|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex16'(id:91) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:50.074345|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex32'(id:92) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:50.503254|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_celtmono48'(id:93) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:50.998808|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusvoice'(id:94) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:51.429845|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusmusic'(id:95) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:52.187741|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:96) with values (value:75, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:52.763429|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) with values (value:75, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:52.918822|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:98) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:53.552166|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxfamilyclients'(id:99) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:20:54.687030|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:20:55.472603|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:96) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:21:00.229842|INFO    |VirtualServer |1  |permission 'b_channel_create_with_sortorder'(id:100) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:02.176547|INFO    |VirtualServer |1  |permission 'b_channel_create_with_default'(id:101) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:05.403361|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_force_password'(id:103) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:06.906081|INFO    |VirtualServer |1  |permission 'b_channel_create_with_default'(id:101) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:21:12.527718|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:102) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:21.457012|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:131) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:21.959181|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:132) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:23.056974|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:133) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:30.503348|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_password'(id:134) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:31.107623|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_maxclients'(id:135) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:34.787979|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:136) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:37.714656|INFO    |VirtualServer |1  |permission 'i_channel_subscribe_power'(id:138) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:21:40.541288|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:140) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:03.703779|INFO    |VirtualServer |1  |permission 'i_client_private_textmessage_power'(id:214) with values (value:75, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:04.970201|INFO    |VirtualServer |1  |permission 'i_client_needed_private_textmessage_power'(id:215) with values (value:75, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:06.000287|INFO    |VirtualServer |1  |permission 'i_client_needed_private_textmessage_power'(id:215) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:22:08.324155|INFO    |VirtualServer |1  |permission 'i_client_private_textmessage_power'(id:214) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:09.394620|INFO    |VirtualServer |1  |permission 'b_client_server_textmessage_send'(id:216) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:11.342669|INFO    |VirtualServer |1  |permission 'b_client_server_textmessage_send'(id:216) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:22:11.792597|INFO    |VirtualServer |1  |permission 'b_client_channel_textmessage_send'(id:217) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:12.963389|INFO    |VirtualServer |1  |permission 'b_client_offline_textmessage_send'(id:218) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:16.197083|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:219) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:19.157198|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:221) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:20.385735|INFO    |VirtualServer |1  |permission 'b_client_set_flag_talker'(id:223) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:22.616709|INFO    |VirtualServer |1  |permission 'b_client_set_flag_talker'(id:223) was deleted by 'loulediable'(id:2) from servergroup 'Madame'(id:11)
2017-11-26 17:22:24.801701|INFO    |VirtualServer |1  |permission 'i_client_whisper_power'(id:224) with values (value:40, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:22:57.832944|INFO    |VirtualServer |1  |permission 'i_client_max_avatar_filesize'(id:175) with values (value:-1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:23:07.279601|INFO    |VirtualServer |1  |permission 'i_client_max_channel_subscriptions'(id:176) with values (value:-1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:23:26.606294|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'Madame'(id:11) by client 'loulediable'(id:2)
2017-11-26 17:23:35.948489|INFO    |VirtualServer |1  |permission 'i_group_show_name_in_tree'(id:149) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Madame'(id:11)
2017-11-26 17:23:48.723796|INFO    |VirtualServer |1  |servergroup 'Madame'(id:11) was copied by 'loulediable'(id:2) to 'Mamie'(id:12)
2017-11-26 17:24:05.525975|INFO    |VirtualServer |1  |servergroup 'Madame'(id:11) was copied by 'loulediable'(id:2) to 'Cougare'(id:13)
2017-11-26 17:24:14.437446|INFO    |VirtualServer |1  |servergroup 'Cougare'(id:13) was copied by 'loulediable'(id:2) to 'Drogué'(id:14)
2017-11-26 17:24:21.461278|INFO    |VirtualServer |1  |servergroup 'Drogué'(id:14) was copied by 'loulediable'(id:2) to 'Roux'(id:15)
2017-11-26 17:24:26.627702|INFO    |VirtualServer |1  |servergroup 'Roux'(id:15) was deleted by 'loulediable'(id:2)
2017-11-26 17:24:31.713469|INFO    |VirtualServer |1  |servergroup 'Administrateur'(id:9) was renamed to 'Roux' by 'loulediable'(id:2)
2017-11-26 17:24:39.989296|INFO    |VirtualServer |1  |client (id:7) was added to servergroup 'Drogué'(id:14) by client 'loulediable'(id:2)
2017-11-26 17:24:44.020241|INFO    |VirtualServer |1  |client (id:8) was added to servergroup 'Cougare'(id:13) by client 'loulediable'(id:2)
2017-11-26 17:24:53.344528|INFO    |VirtualServer |1  |servergroup 'Cougare'(id:13) was renamed to 'Banane' by 'loulediable'(id:2)
2017-11-26 17:25:08.462710|INFO    |VirtualServer |1  |servergroup 'Drogué'(id:14) was copied by 'loulediable'(id:2) to 'Dégage !'(id:16)
2017-11-26 17:25:15.743313|INFO    |VirtualServer |1  |client (id:5) was added to servergroup 'Dégage !'(id:16) by client 'loulediable'(id:2)
2017-11-26 17:25:59.660462|INFO    |VirtualServer |1  |servergroup 'Banane'(id:13) was renamed to 'La Banane cougare' by 'loulediable'(id:2)
2017-11-26 17:32:33.558622|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'All-Perm's'(id:6) by client 'loulediable'(id:2)
2017-11-26 17:32:44.184673|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) was deleted by 'loulediable'(id:2) from channelgroup 'Channel Admin'(id:5)
2017-11-26 17:32:45.948955|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) was deleted by 'loulediable'(id:2) from channelgroup 'Operator'(id:6)
2017-11-26 17:32:49.981937|INFO    |VirtualServer |1  |channelgroup 'Voice'(id:7) was deleted by 'loulediable'(id:2)
2017-11-26 17:32:52.634890|INFO    |VirtualServer |1  |channelgroup 'Operator'(id:6) was deleted by 'loulediable'(id:2)
2017-11-26 17:33:32.245453|INFO    |VirtualServer |1  |permission 'i_group_member_add_power'(id:163) was deleted by 'loulediable'(id:2) from channelgroup 'Channel Admin'(id:5)
2017-11-26 17:33:34.073364|INFO    |VirtualServer |1  |permission 'i_group_member_remove_power'(id:165) was deleted by 'loulediable'(id:2) from channelgroup 'Channel Admin'(id:5)
2017-11-26 17:33:40.036341|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) with values (value:75) was added by 'loulediable'(id:2) to channelgroup 'Channel Admin'(id:5)
2017-11-26 17:33:43.394136|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:75) was added by 'loulediable'(id:2) to channelgroup 'Channel Admin'(id:5)
2017-11-26 18:43:27.120251|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2017-11-26 18:45:02.615287|INFO    |VirtualServer |1  |client (id:8) was added to servergroup 'All-Perm's'(id:6) by client 'loulediable'(id:2)
2017-11-26 18:56:29.094024|INFO    |VirtualServer |1  |client (id:10) was added to servergroup 'Normal'(id:7) by client 'MsMoGr'(id:8)
2017-11-26 19:02:23.114463|INFO    |VirtualServer |1  |client (id:11) was added to servergroup 'Roux'(id:9) by client 'loulediable'(id:2)
2017-11-26 19:02:30.908443|INFO    |VirtualServer |1  |servergroup 'Enzooo'(id:17) was added by 'MsMoGr'(id:8)
2017-11-26 19:02:31.094639|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:146) with values (value:30, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.094873|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:38) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.095054|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:221) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.095241|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:173) with values (value:2, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.095452|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:190) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.095679|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:191) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.095888|INFO    |VirtualServer |1  |permission 'i_client_needed_serverquery_view_power'(id:194) with values (value:75, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.096056|INFO    |VirtualServer |1  |permission 'i_client_needed_complain_power'(id:205) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.096219|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:131) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.096393|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:132) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.096934|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:133) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.097161|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:136) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.097347|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:140) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.098266|INFO    |VirtualServer |1  |permission 'i_client_needed_ban_power'(id:201) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.098443|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_server_power'(id:197) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.098622|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_channel_power'(id:199) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.099942|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:60, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.100964|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) with values (value:60, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.101193|INFO    |VirtualServer |1  |permission 'b_virtualserver_connectioninfo_view'(id:24) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.101391|INFO    |VirtualServer |1  |permission 'i_channel_modify_power'(id:121) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.101571|INFO    |VirtualServer |1  |permission 'i_client_needed_move_power'(id:203) with values (value:50, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.101790|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:82) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.101980|INFO    |VirtualServer |1  |permission 'b_channel_create_semi_permanent'(id:84) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.102206|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:85) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.102399|INFO    |VirtualServer |1  |permission 'b_channel_create_with_topic'(id:87) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.102551|INFO    |VirtualServer |1  |permission 'b_channel_create_with_description'(id:88) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.102754|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:89) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.102934|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex8'(id:90) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103094|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex16'(id:91) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103245|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex32'(id:92) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103389|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103539|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:98) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103737|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxfamilyclients'(id:99) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.103915|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:102) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104061|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:96) with values (value:7, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104210|INFO    |VirtualServer |1  |permission 'i_channel_max_depth'(id:77) with values (value:5, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104354|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:129) with values (value:60, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104505|INFO    |VirtualServer |1  |permission 'b_channel_delete_semi_permanent'(id:126) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104651|INFO    |VirtualServer |1  |permission 'b_channel_delete_temporary'(id:127) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.104842|INFO    |VirtualServer |1  |permission 'b_channel_delete_flag_force'(id:128) with values (value:1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.105011|INFO    |VirtualServer |1  |permission 'i_client_max_avatar_filesize'(id:175) with values (value:200000, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
2017-11-26 19:02:31.105188|INFO    |VirtualServer |1  |permission 'i_client_max_channel_subscriptions'(id:176) with values (value:-1, negated:0, skipchannel:0) was added by 'MsMoGr'(id:8) to servergroup 'Enzooo'(id:17)
