2018-02-12 15:25:43.828069|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2018-02-12 15:29:19.615115|INFO    |VirtualServer |1  |client (id:33) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:29:32.312141|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:199, negated:0, skipchannel:0) was added by 'Louis'(id:2) to servergroup 'Amis'(id:32)
2018-02-14 15:33:08.488765|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-674167645) was added by 'Louis'(id:2) to channel 'Buroux Louis'(id:13)
2018-02-14 15:33:24.715823|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-1883762349) was added by 'Louis'(id:2) to channel 'Buroux Louis'(id:13)
2018-02-14 15:48:10.181787|INFO    |VirtualServer |1  |servergroup 'Ptite Baleine'(id:33) was copied by 'Louis'(id:2) to 'Salope'(id:34)
2018-02-14 15:48:18.643321|INFO    |VirtualServer |1  |permission 'b_icon_manage'(id:144) with values (value:1, negated:0, skipchannel:0) was added by 'Louis'(id:2) to servergroup 'Salope'(id:34)
2018-02-14 15:48:18.743230|INFO    |VirtualServer |1  |permission 'b_icon_manage'(id:144) with values (value:0, negated:0, skipchannel:0) was added by 'Louis'(id:2) to servergroup 'Salope'(id:34)
2018-02-14 15:48:20.790697|INFO    |VirtualServer |1  |permission 'b_icon_manage'(id:144) was deleted by 'Louis'(id:2) from servergroup 'Salope'(id:34)
2018-02-14 15:48:24.712118|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:1176607510, negated:0, skipchannel:0) was added by 'Louis'(id:2) to servergroup 'Salope'(id:34)
2018-02-14 15:48:39.277341|INFO    |VirtualServer |1  |client (id:37) was added to servergroup 'Salope'(id:34) by client 'Louis'(id:2)
2018-02-14 15:48:44.096549|INFO    |VirtualServer |1  |client (id:38) was added to servergroup 'Salope'(id:34) by client 'Louis'(id:2)
2018-02-15 20:14:23.276090|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:23.277245|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:75) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:23.277775|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:75) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:23.279028|INFO    |VirtualServer |1  |permission 'i_channel_needed_delete_power'(id:130) with values (value:75) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:23.279909|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:75) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:43.111863|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:43.112790|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:43.113403|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:43.114053|INFO    |VirtualServer |1  |permission 'i_channel_needed_delete_power'(id:130) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:14:43.114670|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╚════╗︽╔════╝'(id:43)
2018-02-15 20:16:40.254950|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]❚'(id:45)
2018-02-15 20:16:40.256478|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]❚'(id:45)
2018-02-15 20:16:40.257022|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]❚'(id:45)
2018-02-15 20:16:40.257600|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]❚'(id:45)
2018-02-15 20:17:04.678940|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╔════╝︾╚════╗'(id:46)
2018-02-15 20:17:04.680957|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╔════╝︾╚════╗'(id:46)
2018-02-15 20:17:04.681645|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╔════╝︾╚════╗'(id:46)
2018-02-15 20:17:04.682372|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]╔════╝︾╚════╗'(id:46)
2018-02-15 20:18:14.307889|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]₪ Music Channel ₪'(id:47)
2018-02-15 20:18:55.385200|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]'(id:49)
2018-02-15 20:18:55.386027|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]'(id:49)
2018-02-15 20:18:55.386571|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]'(id:49)
2018-02-15 20:18:55.387012|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer04]'(id:49)
2018-02-15 20:19:14.538033|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer05]'(id:50)
2018-02-15 20:19:14.538978|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer05]'(id:50)
2018-02-15 20:19:14.539474|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer05]'(id:50)
2018-02-15 20:19:14.540500|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:100) was added by 'Louis'(id:2) to channel '[cspacer05]'(id:50)
2018-02-15 20:20:53.960006|INFO    |VirtualServer |1  |client (id:9) was removed from servergroup '♪'(id:18) by client 'Louis'(id:2)
2018-02-15 20:21:11.359052|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:219) with values (value:999999999, negated:0, skipchannel:0) was added by 'Louis'(id:2) to servergroup '♪'(id:18)
2018-02-15 20:21:25.404354|INFO    |VirtualServer |1  |client (id:39) was added to servergroup '♪'(id:18) by client 'Louis'(id:2)
2018-02-16 19:15:02.357978|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
